A1

| noop1 + load(o1 R A)                     | inconsistent_effect, interference                  |
| load(o1 R A) + fly(R A B)                | interference                                       |
| noop2 + load(o2 R A)                     | inconsistent_effect, interference                  |
| load(o2 R A) + fly(R A B)                | interference                                       |
| noop3 + fly(R A B)                       | inconsistent_effect, interference                  |
| fly(R A B) + noop4                       | inconsistent_effect, interference                  |



A2

| noop1 + noop3                            | inconsistent_effect, interference, competing_needs |
| noop1 + load(o1 R A)                     | inconsistent_effect, interference                  |
| noop2 + unload(o1 R A)                   | inconsistent_effect, interference                  |
| noop2 + unload(o1 R B)                   | inconsistent_effect, interference                  |
| noop3 + load(o1 R A)                     | interference, competing_needs                      |
| noop3 + unload(o1 R A)                   | inconsistent_effect, interference                  |
| load(o1 R A) + unload(o1 R A)            | inconsistent_effect                                |
| load(o1 R A) + unload(o1 R B)            | inconsistent_effect                                |
| load(o1 R A) + noop8                     | interference, competing_needs                      |
| load(o1 R A) + fly(R A B)                | interference                                       |
| unload(o1 R A) + unload(o1 R B)          | interference                                       |
| unload(o1 R A) + noop8                   | interference, competing_needs                      |
| unload(o1 R A) + fly(R A B)              | interference                                       |
| unload(o1 R B) + fly(R B A)              | interference                                       |
| noop4 + noop6                            | inconsistent_effect, interference, competing_needs |
| noop4 + load(o2 R A)                     | inconsistent_effect, interference                  |
| noop5 + unload(o2 R A)                   | inconsistent_effect, interference                  |
| noop5 + unload(o2 R B)                   | inconsistent_effect, interference                  |
| noop6 + load(o2 R A)                     | interference, competing_needs                      |
| noop6 + unload(o2 R A)                   | inconsistent_effect, interference                  |
| load(o2 R A) + unload(o2 R A)            | inconsistent_effect                                |
| load(o2 R A) + unload(o2 R B)            | inconsistent_effect                                |
| load(o2 R A) + noop8                     | interference, competing_needs                      |
| load(o2 R A) + fly(R A B)                | interference                                       |
| unload(o2 R A) + unload(o2 R B)          | interference                                       |
| unload(o2 R A) + noop8                   | interference, competing_needs                      |
| unload(o2 R A) + fly(R A B)              | interference                                       |
